,,
,,
,,
Park,Season,Visitors
Shenandoah NP,Fall,"23,925"
Shenandoah NP,Fall,"10,622"
Shenandoah NP,Fall,"22,656"
Shenandoah NP,Fall,"31,716"
Shenandoah NP,Fall,"15,583"
Yellowstone NP,Fall,"25,808"
Yellowstone NP,Fall,"8,018"
Yellowstone NP,Fall,32
Yellowstone NP,Fall,"52,688"
Yellowstone NP,Fall,"21,504"
Yellowstone NP,Fall,"5,430"
Yellowstone NP,Fall,"17,168"
Yellowstone NP,Fall,"4,625"
Yellowstone NP,Fall,0
Yellowstone NP,Fall,"49,180"
Yellowstone NP,Fall,"17,521"
Yellowstone NP,Fall,141
Yellowstone NP,Fall,"97,267"
Yellowstone NP,Fall,"39,330"
Yellowstone NP,Fall,530
Yellowstone NP,Fall,"121,230"
Yellowstone NP,Fall,"80,445"
Yellowstone NP,Fall,"49,110"
Yosemite NP,Fall,"63,136"
Yosemite NP,Fall,"48,242"
Yosemite NP,Fall,"33,996"
Yosemite NP,Fall,"33,750"
Yosemite NP,Fall,"23,250"
Yosemite NP,Fall,"4,500"
Yosemite NP,Fall,"55,575"
Yosemite NP,Fall,"44,396"
Yosemite NP,Fall,"17,040"
Yosemite NP,Fall,0
Yosemite NP,Fall,0
Yosemite NP,Fall,0
Yosemite NP,Fall,"3,202"
Yosemite NP,Fall,"2,418"
Yosemite NP,Fall,857
Yosemite NP,Fall,"43,371"
Yosemite NP,Fall,"41,539"
Yosemite NP,Fall,"33,589"
Yosemite NP,Fall,"48,000"
Yosemite NP,Fall,"23,250"
Yosemite NP,Fall,0
Zion NP,Fall,0
Zion NP,Fall,0
Zion NP,Fall,0
Zion NP,Fall,"46,958"
Zion NP,Fall,"40,030"
Zion NP,Fall,"20,570"
Zion NP,Fall,"12,245"
Zion NP,Fall,"12,122"
Zion NP,Fall,"7,080"
Zion NP,Fall,0
Zion NP,Fall,0
Zion NP,Fall,0
Zion NP,Fall,"105,011"
Zion NP,Fall,"92,066"
Zion NP,Fall,"66,632"
Acadia NP,Spring,"3,849"
Acadia NP,Spring,"11,101"
Acadia NP,Spring,"25,473"
Acadia NP,Spring,"2,600"
Acadia NP,Spring,"3,300"
Acadia NP,Spring,"7,889"
Apostle Islands NL,Spring,649
Apostle Islands NL,Spring,"1,190"
Apostle Islands NL,Spring,"2,049"
Apostle Islands NL,Spring,441
Apostle Islands NL,Spring,478
Apostle Islands NL,Spring,972
Arches NP,Spring,"47,326"
Arches NP,Spring,"57,145"
Arches NP,Spring,"67,916"
Big Bend NP,Spring,"10,009"
Big Bend NP,Spring,"6,394"
Big Bend NP,Spring,"5,135"
Big Bend NP,Spring,"16,067"
Big Bend NP,Spring,"11,018"
Big Bend NP,Spring,"7,960"
Bryce Canyon NP,Spring,"32,473"
Bryce Canyon NP,Spring,"46,060"
Bryce Canyon NP,Spring,"80,168"
Capitol Reef NP,Spring,680
Capitol Reef NP,Spring,"1,076"
Capitol Reef NP,Spring,"1,125"
Capitol Reef NP,Spring,"1,210"
Capitol Reef NP,Spring,"1,858"
Capitol Reef NP,Spring,"2,061"
Capitol Reef NP,Spring,"1,316"
Capitol Reef NP,Spring,"1,313"
Capitol Reef NP,Spring,"1,217"
Capitol Reef NP,Spring,"4,658"
Capitol Reef NP,Spring,"11,403"
Capitol Reef NP,Spring,"13,275"
Capitol Reef NP,Spring,284
Capitol Reef NP,Spring,613
Capitol Reef NP,Spring,610
Capitol Reef NP,Spring,"4,631"
Capitol Reef NP,Spring,"12,018"
Capitol Reef NP,Spring,"14,217"
Capitol Reef NP,Spring,"4,275"
Capitol Reef NP,Spring,"10,389"
Capitol Reef NP,Spring,"12,056"
Capitol Reef NP,Spring,0
Capitol Reef NP,Spring,0
Capitol Reef NP,Spring,0
Capitol Reef NP,Spring,"9,688"
Capitol Reef NP,Spring,"26,166"
Capitol Reef NP,Spring,"31,526"
Capitol Reef NP,Spring,"18,332"
Capitol Reef NP,Spring,"40,145"
Capitol Reef NP,Spring,"44,499"
Crater Lake NP,Spring,"3,445"
Crater Lake NP,Spring,"5,946"
Crater Lake NP,Spring,"15,077"
Crater Lake NP,Spring,0
Crater Lake NP,Spring,0
Crater Lake NP,Spring,0
Death Valley NP,Spring,"2,409"
Death Valley NP,Spring,"2,554"
Death Valley NP,Spring,"2,153"
Death Valley NP,Spring,395
Death Valley NP,Spring,402
Death Valley NP,Spring,227
Death Valley NP,Spring,0
Death Valley NP,Spring,0
Death Valley NP,Spring,0
Death Valley NP,Spring,0
Death Valley NP,Spring,0
Death Valley NP,Spring,0
Death Valley NP,Spring,"18,527"
Death Valley NP,Spring,"15,697"
Death Valley NP,Spring,"14,365"
Death Valley NP,Spring,0
Death Valley NP,Spring,0
Death Valley NP,Spring,0
Death Valley NP,Spring,"12,875"
